iter	TotalF1	MultiClass
0	0.9279237733	1.019670627
1	0.9340914935	0.9496665454
2	0.9420325861	0.8863521751
3	0.9425089476	0.8311586384
4	0.9425877781	0.7819354105
5	0.9427008595	0.7384658212
6	0.9428158333	0.6979232337
7	0.9426773598	0.6627700576
8	0.9431032933	0.6299289954
9	0.9434083316	0.5998703655
10	0.9435354135	0.5716924
11	0.9434162663	0.5459930303
12	0.9434544968	0.5220124573
13	0.9434197576	0.5001303992
14	0.9435415068	0.4800387006
15	0.9437712006	0.4616745953
16	0.9438311391	0.4442359062
17	0.9439331883	0.4282035112
18	0.943916681	0.4134720161
19	0.9439007338	0.3996354377
20	0.9438726203	0.3866422901
21	0.9438184109	0.3748511536
22	0.9439828327	0.3632135479
23	0.9440768902	0.352238902
24	0.944133034	0.3423240011
25	0.9444870504	0.3330538341
26	0.9444520728	0.3241599639
27	0.9454216171	0.3157276416
28	0.9452401556	0.3082694925
29	0.9454066334	0.3011371129
30	0.945346506	0.2942445595
31	0.9455281657	0.2880409476
32	0.9455460422	0.281871259
33	0.9455332024	0.2763898376
34	0.9458075585	0.2709239887
35	0.9458633281	0.2664913714
36	0.946009692	0.2619186874
37	0.9461214096	0.2574353319
38	0.9460833697	0.2535315508
39	0.9460852893	0.2496251009
40	0.9464630204	0.2459888851
41	0.946562634	0.2423835655
42	0.9463835217	0.2390149333
43	0.9463617908	0.2362546406
44	0.9464866462	0.2332033809
45	0.9468194917	0.2304914615
46	0.94680829	0.227929326
47	0.9467963078	0.2255149361
48	0.9468697305	0.2230634452
49	0.9470069325	0.2208282902
50	0.947077825	0.2190372571
51	0.9471929569	0.2169901593
52	0.9471823868	0.2151018155
53	0.9473594989	0.2133213593
54	0.9474369798	0.21148746
55	0.9474255144	0.2098176904
56	0.9474667506	0.2081681835
57	0.9475232475	0.206824482
58	0.9476025895	0.2054808511
59	0.9476940584	0.204219576
60	0.947755406	0.2029154203
61	0.9479218355	0.2016270707
62	0.9479447677	0.2004328288
63	0.9479448306	0.1995322461
64	0.948038225	0.1983267277
65	0.9480961066	0.1974565964
66	0.9481363176	0.1964418768
67	0.9481534696	0.19558705
68	0.9481508566	0.194739439
69	0.9481761315	0.193873501
70	0.94814554	0.193145347
71	0.9481975951	0.1922665847
72	0.9482386722	0.1916102605
73	0.948243351	0.1909894783
74	0.9482442096	0.1903561449
75	0.9482814354	0.189757131
76	0.9482928925	0.189175239
77	0.9482910136	0.1886580921
78	0.9483043948	0.1881167085
79	0.948305186	0.1876433173
80	0.9483213551	0.1872647698
81	0.9483328836	0.1871252399
82	0.9483500092	0.1866067751
83	0.9483670507	0.1862191685
84	0.9483600186	0.185815143
85	0.948382931	0.1853770365
86	0.9484214201	0.1849958025
87	0.9484629123	0.184608806
88	0.9484512255	0.1842876426
89	0.94846793	0.1839412974
90	0.9484794868	0.1835744
91	0.9485102165	0.1831447994
92	0.948523037	0.182844359
93	0.9485575971	0.1825556592
94	0.948581717	0.1821510927
95	0.9485962907	0.1818354657
96	0.9486099954	0.1815419935
97	0.9486144752	0.1814772711
98	0.9486214098	0.1811758315
99	0.9486653821	0.1809140176
100	0.9486746203	0.1806944418
101	0.948667992	0.1804648605
102	0.9486768483	0.1802556687
103	0.9486866456	0.1801338281
104	0.9487198013	0.1797850039
105	0.9486923864	0.1795684767
106	0.9487209354	0.1793772308
107	0.9487039787	0.179161883
108	0.9487251152	0.1790733115
109	0.9487489543	0.178898172
110	0.9487637448	0.1787124889
111	0.9487846882	0.1783736866
112	0.9487837952	0.1782832779
113	0.948799327	0.1780621871
114	0.9488379103	0.1779458583
115	0.9488379103	0.1779231966
116	0.94886626	0.1778673964
117	0.9488688247	0.1776526047
118	0.9488288073	0.1776116506
119	0.9488372603	0.1775074868
120	0.9488502162	0.1774515413
121	0.9488526028	0.1774031055
122	0.9488664377	0.1773256562
123	0.9488762305	0.1772815165
124	0.9489063922	0.1771097158
125	0.9489080683	0.1769721576
126	0.9488996714	0.1768385049
127	0.9489270386	0.1766608944
128	0.9489398153	0.1765771485
129	0.9489395748	0.1763709917
130	0.9489371168	0.1763073955
131	0.9489499697	0.176273807
132	0.9489612711	0.1762294829
133	0.948987451	0.1760851576
134	0.9490294191	0.175875092
135	0.9490261104	0.1757627707
136	0.949056367	0.1756148515
137	0.9490533564	0.1755132715
138	0.9490904878	0.1754203708
139	0.9490538288	0.175383576
140	0.9490538288	0.1753835705
141	0.9490829706	0.1752187912
142	0.9490754433	0.1751564512
143	0.9490618617	0.1751382691
144	0.9490753251	0.1750314314
145	0.9491239968	0.1748874145
146	0.9491268674	0.1747595797
147	0.9490884902	0.1745907881
148	0.9491136799	0.1745577011
149	0.9491064496	0.1743476405
150	0.949125722	0.174319921
151	0.9491200161	0.1743061637
152	0.9491029519	0.1743010231
153	0.9491564964	0.1741546025
154	0.9491556919	0.1741482385
155	0.9491745099	0.174081732
156	0.9491860145	0.1740519459
157	0.9492244522	0.1739322651
158	0.9492244522	0.1739322629
159	0.9492618143	0.1737871691
160	0.9492718429	0.1736673014
161	0.9492476903	0.173619818
162	0.9492415755	0.1735305318
163	0.9492586774	0.1734892578
164	0.9492551792	0.1734807352
165	0.9492682926	0.1733527402
166	0.9492699164	0.1733516869
167	0.9492682926	0.1733487384
168	0.9492659368	0.17331034
169	0.9492723963	0.1732721803
170	0.9492732082	0.1732721782
171	0.9492843773	0.1732649902
172	0.9492738731	0.1732449576
173	0.9492805219	0.1731592412
174	0.9492847202	0.1731158829
175	0.9493008113	0.173083785
176	0.9493186693	0.1729726523
177	0.9493067111	0.1729618797
178	0.9493344555	0.1729271916
179	0.9493425386	0.1729192653
180	0.9493498973	0.1729106624
181	0.9493683924	0.1728459094
182	0.9493756784	0.1728431152
183	0.9493818572	0.1728110532
184	0.9493962401	0.1727730735
185	0.9493968846	0.1727035626
186	0.9494115403	0.172561051
187	0.9494363109	0.1724325278
188	0.9494543205	0.1723750001
189	0.949447846	0.1723665047
190	0.9494748475	0.1721633255
191	0.949482591	0.1720377812
192	0.9494757968	0.1720058989
193	0.9494909367	0.1719325262
194	0.9494909443	0.1719302095
195	0.949495018	0.1719288321
196	0.9495308204	0.171786991
197	0.9495316321	0.1717775361
198	0.9495552904	0.1717692141
199	0.949562253	0.1717478379
200	0.9495807129	0.1717396912
