iter	Passed	Remaining
0	2650	2117441
1	3992	1592990
2	5408	1436738
3	6766	1346625
4	8166	1298398
5	9416	1246121
6	10739	1216622
7	11997	1187794
8	13311	1169943
9	14662	1158327
10	15945	1143714
11	17182	1128299
12	18453	1117141
13	19719	1107126
14	20986	1098298
15	22206	1088095
16	23435	1079391
17	24712	1073612
18	25950	1066700
19	27251	1062813
20	28497	1057112
21	29784	1053281
22	31043	1048746
23	32256	1042952
24	33519	1039115
25	34773	1035172
26	36115	1033975
27	37352	1029850
28	38654	1027665
29	39869	1023305
30	41155	1020913
31	42461	1019079
32	43719	1016155
33	45023	1014362
34	46262	1011168
35	47514	1008354
36	48728	1004855
37	49992	1002476
38	51293	1000883
39	52638	1000126
40	53948	998705
41	55280	997687
42	56550	995553
43	57841	993824
44	59123	991966
45	60345	989138
46	61568	986410
47	62897	985394
48	64177	983618
49	65433	981509
50	66696	979523
51	67963	977632
52	69228	975733
53	70987	980684
54	72498	982022
55	78027	1036655
56	79349	1034333
57	80693	1032325
58	86100	1081360
59	87380	1077695
60	88685	1074401
61	94190	1121174
62	95458	1116712
63	96767	1112823
64	102337	1157203
65	103632	1152522
66	104939	1148067
67	110555	1190099
68	111853	1185001
69	113405	1182654
70	118675	1218509
71	119994	1213281
72	122731	1222271
73	126864	1244644
74	128129	1238582
75	129399	1232697
76	133428	1252845
77	136257	1261258
78	137648	1256259
79	142371	1281341
80	144436	1282092
81	144939	1269101
82	146432	1264965
83	151786	1293800
84	153065	1287552
85	154302	1281071
86	159779	1309459
87	161134	1303723
88	163406	1305418
89	168185	1326797
90	169646	1321754
91	171062	1316436
92	176283	1340132
93	177759	1335086
94	179229	1330068
95	184918	1356067
96	186168	1349245
97	186690	1337315
98	190715	1350417
99	193593	1355155
100	195086	1350152
101	200899	1374783
102	202666	1371444
103	203546	1362198
104	209118	1384166
105	210545	1378478
106	213583	1383300
107	217471	1393426
108	218072	1382461
109	219452	1376565
110	225037	1396852
111	226353	1390458
112	227269	1381716
113	232017	1396175
114	233775	1392486
115	234150	1380681
116	234634	1369704
117	236566	1367273
118	240051	1373738
119	242127	1372053
120	242712	1361999
121	243236	1351758
122	245360	1350477
123	248647	1355529
124	250256	1351387
125	251734	1346582
126	257436	1364208
127	258930	1359384
128	259698	1350836
129	265201	1366807
130	265854	1357686
131	266370	1347994
132	266992	1338975
133	270316	1343512
134	273881	1349122
135	274870	1342015
136	276173	1336518
137	280128	1343806
138	283166	1346568
139	283785	1337847
140	283977	1327243
141	285540	1323139
142	290889	1336463
143	291340	1327217
144	292804	1322670
145	297982	1334798
146	299543	1330627
147	301036	1326186
148	305197	1333445
149	307389	1332019
150	308275	1324970
151	308965	1317167
152	309693	1309617
153	314925	1321049
154	315883	1314481
155	317332	1310012
156	320850	1314056
157	323437	1314221
158	323617	1304645
159	325087	1300349
160	330593	1312105
161	331981	1307434
162	333394	1302899
163	338996	1314643
164	339281	1305718
165	340586	1300793
166	340901	1292157
167	341198	1283557
168	342956	1280506
169	346721	1284909
170	346925	1276116
171	347212	1267730
172	347594	1259777
173	349015	1255655
174	349492	1248189
175	353786	1254335
176	355798	1252329
177	356179	1244627
178	357488	1240224
179	360559	1241928
180	362891	1241050
181	364286	1236973
182	365441	1232116
183	370903	1241719
184	372273	1237557
185	373488	1232913
186	379097	1242710
187	380330	1238097
188	381705	1233978
189	387264	1243324
190	388527	1238813
191	390277	1235877
192	395531	1243976
193	396878	1239732
194	397253	1232505
195	397620	1225319
196	399427	1222613
197	401755	1221498
198	404005	1220136
199	404637	1213913
200	404971	1206856
201	406340	1202929
202	410923	1208480
203	413125	1206975
204	414483	1203012
205	419638	1210024
206	420232	1203853
207	421552	1199802
208	422934	1195954
209	428432	1203689
210	429763	1199672
211	430935	1195236
212	436343	1202503
213	437713	1198597
214	439083	1194716
215	444557	1201951
216	444745	1194868
217	446005	1190712
218	446283	1183974
219	447695	1180288
220	452465	1185417
221	453691	1181233
222	455061	1177444
223	457502	1176436
224	460323	1176381
225	462134	1173740
226	463430	1169805
227	463927	1163889
228	469491	1170652
229	470232	1165359
230	471574	1161583
231	474943	1162793
232	477025	1160830
233	478699	1157880
234	479069	1151805
235	480672	1148726
236	485925	1154330
237	487219	1150494
238	489868	1149858
239	494210	1153158
240	495573	1149483
241	495875	1143381
242	500924	1148209
243	502694	1145483
244	503178	1139853
245	503996	1135017
246	509565	1140849
247	510932	1137236
248	512273	1133586
249	512630	1127786
250	518090	1133193
251	519412	1129515
252	519821	1123882
253	520015	1117828
254	524234	1120423
255	526260	1118303
256	527553	1114635
257	530321	1114085
258	534450	1116362
259	535852	1112923
260	539825	1114812
261	542752	1114506
262	544083	1110924
263	544520	1105541
264	549999	1110376
265	551401	1106949
266	553234	1104396
267	558367	1108401
268	559712	1104860
269	561089	1101398
270	564772	1102452
271	567818	1102235
272	569235	1098854
273	572948	1099893
274	575931	1099504
275	577265	1095967
276	581468	1097863
277	584003	1096582
278	585332	1093039
279	589775	1095296
280	592150	1093686
281	593397	1089999
282	597608	1091743
283	600236	1090570
284	601550	1087012
285	606582	1090151
286	608356	1087410
287	609711	1083930
288	614596	1086708
289	616364	1083950
290	617763	1080556
291	622946	1083756
292	624497	1080615
293	625872	1077182
294	630765	1079784
295	632546	1077038
296	633882	1073544
297	639369	1077058
298	640835	1073774
299	642158	1070263
300	647641	1073665
301	648881	1070009
302	650247	1066577
303	655638	1069726
304	656878	1066081
305	658144	1062495
306	663664	1065753
307	664889	1062096
308	666242	1058657
309	671662	1061659
310	672923	1058069
311	674218	1054547
312	679855	1057793
313	681165	1054287
314	682535	1050888
315	688082	1053898
316	689373	1050370
317	691615	1048297
318	696264	1049853
319	697795	1046692
320	700874	1045853
321	704493	1045800
322	705755	1042245
323	709522	1042385
324	712678	1041607
325	714021	1038178
326	717866	1038381
327	720900	1037392
328	722182	1033884
329	726341	1034486
330	728456	1032164
331	729881	1028869
332	732828	1027719
333	736648	1027779
334	738055	1024464
335	739353	1021012
336	744540	1022914
337	746272	1020053
338	747576	1016616
339	752652	1018294
340	754251	1015253
341	755619	1011911
342	760876	1013762
343	762477	1010725
344	763753	1007268
345	769249	1009361
346	770599	1005998
347	771866	1002539
348	777434	1004650
349	778781	1001289
350	780064	997860
351	785632	999895
352	786837	996363
